127.0.0.1 - - [26/May/2024:00:00:26 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/May/2024:00:00:26 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:00:31 +0300] "GET /EmergencySystem/log_in.jsp?you-are=department-nurse&sign=sign-up HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/May/2024:00:00:44 +0300] "POST /EmergencySystem/department_nurse HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [26/May/2024:00:00:50 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=OMAR+AL-SALEH&password=1234 HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [26/May/2024:00:07:10 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:07:13 +0300] "GET /EmergencySystem/log_in.jsp?you-are=department-nurse&sign=sign-up HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/May/2024:00:07:22 +0300] "POST /EmergencySystem/department_nurse HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [26/May/2024:00:07:27 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=OMAR+AL-SALEH&password=1234 HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [26/May/2024:00:08:16 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:08:19 +0300] "GET /EmergencySystem/log_in.jsp?you-are=department-nurse&sign=sign-up HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/May/2024:00:09:33 +0300] "POST /EmergencySystem/department_nurse HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [26/May/2024:00:09:40 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=gg&password=1234 HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [26/May/2024:00:15:30 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:15:30 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:15:30 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:15:31 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:15:31 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:15:34 +0300] "GET /EmergencySystem/log_in.jsp?you-are=department-nurse&sign=sign-up HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/May/2024:00:15:47 +0300] "POST /EmergencySystem/department_nurse HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [26/May/2024:00:15:53 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=assignment+1&password=1234 HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:21 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:21 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:21 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:22 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:22 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:22 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:22 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:32 +0300] "GET /EmergencySystem/log_in.jsp?you-are=patient&sign=sign-up HTTP/1.1" 200 4213
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:36 +0300] "GET /EmergencySystem/log_in.jsp?you-are=department-nurse&sign=sign-up HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:46 +0300] "POST /EmergencySystem/department_nurse HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [26/May/2024:00:16:52 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=MIPS+Stack+Momory&password=1234 HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [26/May/2024:00:19:17 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:19:18 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:19:18 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:19:25 +0300] "GET /EmergencySystem/log_in.jsp?you-are=department-nurse&sign=sign-up HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/May/2024:00:19:33 +0300] "POST /EmergencySystem/department_nurse HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [26/May/2024:00:19:40 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=OMAR+AL-SALEH&password=1234 HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [26/May/2024:00:22:51 +0300] "POST /EmergencySystem/department_nurse HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [26/May/2024:00:22:57 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=OMAR+AL-SALEH&password=1234 HTTP/1.1" 200 5777
0:0:0:0:0:0:0:1 - - [26/May/2024:00:26:57 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=OMAR+AL-SALEH&password=1234 HTTP/1.1" 200 9236
0:0:0:0:0:0:0:1 - - [26/May/2024:00:48:36 +0300] "POST /EmergencySystem/department_nurse HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [26/May/2024:00:48:41 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=OMAR+AL-SALEH&password=1234 HTTP/1.1" 200 8764
0:0:0:0:0:0:0:1 - - [26/May/2024:00:48:56 +0300] "POST /EmergencySystem/department_nurse_manage_cases.jsp HTTP/1.1" 200 8862
0:0:0:0:0:0:0:1 - - [26/May/2024:00:49:02 +0300] "POST /EmergencySystem/department_nurse_manage_cases.jsp HTTP/1.1" 200 8876
0:0:0:0:0:0:0:1 - - [26/May/2024:00:49:40 +0300] "POST /EmergencySystem/department_nurse_manage_cases.jsp HTTP/1.1" 200 8859
0:0:0:0:0:0:0:1 - - [26/May/2024:00:49:45 +0300] "POST /EmergencySystem/department_nurse_manage_cases.jsp HTTP/1.1" 200 8870
0:0:0:0:0:0:0:1 - - [26/May/2024:00:49:49 +0300] "POST /EmergencySystem/department_nurse_manage_cases.jsp HTTP/1.1" 200 8868
0:0:0:0:0:0:0:1 - - [26/May/2024:00:55:53 +0300] "POST /EmergencySystem/department_nurse_manage_cases.jsp HTTP/1.1" 200 8872
0:0:0:0:0:0:0:1 - - [26/May/2024:00:56:24 +0300] "GET /EmergencySystem/index.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [26/May/2024:00:56:29 +0300] "GET /EmergencySystem/log_in.jsp?you-are=officer&sign=sign-in HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [26/May/2024:00:56:34 +0300] "GET /EmergencySystem/officer?source=sign-in&name=OMAR+AL-SALEH&password=1234 HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [26/May/2024:00:57:08 +0300] "GET /EmergencySystem/log_in.jsp?you-are=department-nurse&sign=sign-in HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [26/May/2024:00:57:12 +0300] "GET /EmergencySystem/department_nurse?source=sign-in&name=OMAR+AL-SALEH&password=1234 HTTP/1.1" 200 4522
